Longitud,Latitud,Valor
-71.21670,-34.96640,15.00000
-72.04000,-36.58720,14.20000
-73.06220,-36.77920,12.50000
-72.63690,-38.77000,11.30000
-73.08080,-39.65060,11.20000
-73.06080,-40.60500,10.80000
-73.09780,-41.43500,10.00000
-72.66390,-45.39610,9.40000
-72.10860,-45.59390,8.20000
-71.69420,-45.91280,6.40000
-71.69280,-46.58080,9.00000
-72.58640,-47.24390,7.80000
-70.84500,-53.00330,6.30000
-67.61560,-54.93170,5.70000
-58.96420,-62.19970,-2.20000
-68.90720,-22.49890,13.10000
-109.42700,-27.16060,20.70000
-70.79440,-33.39190,14.50000
-70.54780,-33.45440,16.30000
-78.83500,-33.63670,15.10000
-71.61420,-33.65500,12.10000
-72.42250,-37.40280,13.10000
-71.85250,-43.18890,8.90000
-71.80530,-43.61170,9.40000
-72.52890,-51.66720,6.50000
-70.32030,-53.18750,6.30000
-81.35800,13.35700,28.40000
-81.71700,12.58300,27.90000
-72.92600,11.52600,29.70000
-69.68100,11.41500,29.60000
-74.23100,11.12000,29.40000
-63.96700,10.91700,27.60000
-74.78100,10.89000,27.90000
-66.99100,10.60300,27.50000
-62.31700,10.58300,27.80000
-71.72800,10.55800,29.20000
-66.84400,10.48500,23.80000
-68.07300,10.48100,28.30000
-64.13000,10.45000,28.20000
-75.51300,10.44200,28.20000
-73.25000,10.43500,30.00000
-68.23300,10.30000,21.50000
-67.65000,10.25000,26.90000
-67.92800,10.15000,27.10000
-64.68900,10.10700,28.10000
-69.35900,10.04300,25.50000
-67.33300,9.91700,26.80000
-70.93300,9.81700,29.40000
-63.15300,9.74900,27.90000
-69.23800,9.55300,27.50000
-70.58400,9.34000,25.90000
-66.00000,9.23300,28.70000
-69.75500,9.02700,27.90000
-67.41700,8.92500,29.00000
-75.82600,8.82400,29.00000
-71.65000,8.63300,27.60000
-70.22100,8.62000,28.00000
-71.18300,8.60000,21.30000
-63.53700,8.12200,28.80000
-72.51200,7.92800,28.10000
-72.44000,7.84100,27.80000
-76.71600,7.81200,28.20000
-67.42000,7.68000,29.10000
-72.03500,7.56500,25.80000
-70.75600,7.21100,27.40000
-73.18500,7.12700,22.30000
-70.73700,7.06900,28.00000
-73.80700,7.02400,28.70000
-58.15000,6.80000,28.50000
-58.25000,6.50000,26.20000
-75.59100,6.22000,23.60000
-67.50000,6.16700,29.60000
-75.42300,6.16500,16.80000
-76.64100,5.69100,27.10000
-67.60600,5.62000,28.20000
-54.03300,5.50000,26.40000
-55.18800,5.45300,26.50000
-52.36700,4.83300,25.90000
-75.74000,4.81300,22.30000
-74.15000,4.70100,13.60000
-75.76600,4.45300,23.00000
-75.13300,4.42200,25.30000
-73.61400,4.16800,27.10000
-51.80000,3.88300,25.80000
-54.03300,3.63300,26.30000
-76.38300,3.55000,23.70000
-75.29400,2.95000,28.60000
-50.85000,2.06700,30.00000
-77.26700,1.41700,20.20000
-77.67200,0.86200,12.30000
-77.81700,0.60000,13.40000
-51.07200,0.05100,27.90000
-79.36700,0.01700,25.00000
-78.55000,-0.35000,13.40000
-65.00000,-0.41700,28.00000
-47.38300,-0.61700,27.50000
-75.41700,-0.91700,26.60000
-89.61700,-0.91700,25.20000
-80.45000,-1.03300,26.60000
-79.46700,-1.10000,25.90000
-48.47600,-1.37900,26.90000
-77.90000,-1.50000,22.20000
-54.71700,-2.43300,27.40000
-78.93300,-2.55000,12.60000
-41.75000,-2.91700,29.70000
-58.48100,-3.12700,28.90000
-52.20000,-3.20000,27.70000
-80.38100,-3.55300,25.60000
-73.30000,-3.78300,26.00000
-49.72000,-3.78600,28.20000
-32.41700,-3.85000,27.50000
-79.20000,-4.03300,17.20000
-69.94300,-4.19300,26.40000
-81.25400,-4.57700,25.60000
-42.81700,-5.05000,28.90000
-80.61600,-5.20600,24.00000
-49.13800,-5.36900,27.80000
-61.27800,-5.81100,28.80000
-76.11800,-5.89400,28.00000
-76.36700,-6.50000,27.30000
-79.82800,-6.78700,21.70000
-34.86700,-7.10000,25.90000
-78.48900,-7.13900,15.30000
-76.72900,-7.16900,28.60000
-35.88300,-7.21700,24.40000
-47.46700,-7.31700,30.60000
-72.66700,-7.63300,27.10000
-79.10900,-8.08100,19.70000
-49.28000,-8.25000,30.00000
-74.57400,-8.37800,26.50000
-75.95000,-9.13300,26.20000
-38.21700,-9.40000,29.70000
-35.78300,-9.51700,25.20000
-56.10000,-9.86700,28.10000
-76.20500,-9.87900,22.20000
-65.34900,-10.81700,28.00000
-66.11700,-11.00000,27.20000
-68.78000,-11.03000,26.80000
-77.11400,-12.02200,19.40000
-69.22900,-12.61400,27.50000
-60.09800,-12.69400,25.40000
-64.66700,-13.06700,27.70000
-74.20400,-13.15500,18.40000
-43.41700,-13.26700,29.60000
-64.70000,-13.30000,28.10000
-64.11700,-13.33300,27.70000
-71.93900,-13.53600,12.20000
-76.22000,-13.74500,19.80000
-65.43500,-13.76200,27.40000
-66.78300,-14.06700,27.80000
-67.36700,-14.30000,26.80000
-67.57000,-14.47000,26.70000
-68.41700,-14.73300,22.70000
-64.91800,-14.81900,26.50000
-40.86300,-14.86300,22.60000
-66.75000,-14.86700,27.30000
-65.63300,-14.96700,27.10000
-70.15800,-15.46700,11.50000
-63.10000,-15.71700,26.50000
-62.10000,-16.25000,25.10000
-62.46700,-16.26700,25.10000
-71.56700,-16.33200,14.90000
-58.38300,-16.33300,28.40000
-60.95000,-16.36700,25.90000
-68.19200,-16.51300,7.50000
-43.86700,-16.71700,24.80000
-66.18000,-17.42000,17.70000
-69.60000,-17.58000,10.40000
